year	departamen	puestos	mean	ratio
2014	Colón	9073	5076.916666666667	1.7871083170559559
2014	Concordia	22257	15747	1.4134120784911413
2014	Diamante	6148	4736.416666666667	1.2980276932280028
2014	Federación	7518	5153.5	1.4588143979819541
2014	Federal	1991	2798.25	0.7115161261502725
2014	Feliciano	864	1595.8333333333333	0.5414099216710183
2014	Gualeguay	6038	4803.166666666667	1.2570873382143724
2014	Gualeguaychú	15186	10297.166666666666	1.474774614376123
2014	Islas del Ibicuy	767	509.25	1.5061364752086401
2014	La Paz	5930	5451.5	1.0877740071539943
2014	Nogoyá	3842	3334.6666666666665	1.152139144342263
2014	Paraná	45536	46586.916666666664	0.9774418068019813
2014	San Salvador	1857	1337.3333333333333	1.3885842472582255
2014	Tala	1928	2914.5	0.661519986275519
2014	Uruguay	13197	10749.25	1.2277135614112613
2014	Victoria	4134	3453.1666666666665	1.1971620251942663
2014	Villaguay	3628	4301.583333333333	0.8434103721497899
2015	Colón	9185	5136.583333333333	1.7881536040493844
2015	Concordia	22549	16251.666666666666	1.3874884627217723
2015	Diamante	6313	4836.333333333333	1.305327727617341
2015	Federación	7447	5183.75	1.436604774535809
2015	Federal	1965	2906.8333333333335	0.6759933490052176
2015	Feliciano	832	1681	0.49494348602022603
2015	Gualeguay	6088	4931.583333333333	1.2344919650551718
2015	Gualeguaychú	15428	10441.25	1.4776008619657608
2015	Islas del Ibicuy	705	511.8333333333333	1.3774014978834257
2015	La Paz	6037	5697.583333333333	1.0595720407775227
2015	Nogoyá	3944	3430	1.149854227405248
2015	Paraná	46479	48010.25	0.9681057690805609
2015	San Salvador	1864	1421.1666666666667	1.311598451976076
2015	Tala	1899	2995.3333333333335	0.6339862007567326
2015	Uruguay	13247	10619.833333333334	1.2473830411651154
2015	Victoria	4145	3541.1666666666665	1.1705181908034077
2015	Villaguay	3605	4528.75	0.7960253933204526
2016	Colón	9089	5064.833333333333	1.7945309157918985
2016	Concordia	22094	16416	1.3458820662768032
2016	Diamante	6339	4854.5	1.3057987434339273
2016	Federación	7376	5230.5	1.4101902303795049
2016	Federal	1883	3041.4166666666665	0.6191193796750418
2016	Feliciano	853	1701.0833333333333	0.501445157497673
2016	Gualeguay	5988	5003.916666666667	1.1966626142854764
2016	Gualeguaychú	14913	10416.916666666666	1.4316136412726095
2016	Islas del Ibicuy	622	522.1666666666666	1.1911905521864028
2016	La Paz	5878	5797.75	1.013841576473632
2016	Nogoyá	3880	3536.3333333333335	1.0971816382316901
2016	Paraná	46533	48355.166666666664	0.9623170223106114
2016	San Salvador	1866	1411.0833333333333	1.3223882359888974
2016	Tala	1823	3015.3333333333335	0.6045766084457218
2016	Uruguay	13193	10483.25	1.2584837717310948
2016	Victoria	3880	3644	1.0647639956092205
2016	Villaguay	3529	4603.5	0.7665906375583795
2017	Colón	8992	5148.083333333333	1.7466694724573872
2017	Concordia	21912	16580.166666666668	1.3215789949839667
2017	Diamante	6364	4921.916666666667	1.2929922286372177
2017	Federación	7421	5260.166666666667	1.4107918000063369
2017	Federal	1950	3145.4166666666665	0.6199496622069148
2017	Feliciano	902	1749.6666666666667	0.5155267670032387
2017	Gualeguay	6057	4993.25	1.2130376007610273
2017	Gualeguaychú	14833	10589.083333333334	1.400782252162211
2017	Islas del Ibicuy	743	540.1666666666666	1.3755013884603517
2017	La Paz	5888	5883.416666666667	1.0007790257928357
2017	Nogoyá	3909	3551	1.1008166713601801
2017	Paraná	47352	48817.75	0.9699750603008127
2017	San Salvador	1881	1437.1666666666667	1.3088252348370637
2017	Tala	1849	3048.25	0.6065775444927417
2017	Uruguay	13195	10415.5	1.2668618885315155
2017	Victoria	3858	3708.8333333333335	1.0402192962746595
2017	Villaguay	3566	4628.416666666667	0.7704578599593093
2018	Colón	8946	5092.5	1.756701030927835
2018	Concordia	21862	16561	1.3200893665841436
2018	Diamante	6370	4981	1.2788596667335876
2018	Federación	7361	5275.083333333333	1.3954281922876417
2018	Federal	1965	3230.8333333333335	0.6082022182099561
2018	Feliciano	920	1785.25	0.5153339868365775
2018	Gualeguay	6043	5028.25	1.2018097747725351
2018	Gualeguaychú	14801	10614.333333333334	1.39443519768866
2018	Islas del Ibicuy	720	548.25	1.3132694938440492
2018	La Paz	6040	6005.333333333333	1.005772646536412
2018	Nogoyá	3903	3596.1666666666665	1.085322333966724
2018	Paraná	47015	48749.166666666664	0.9644267423374759
2018	San Salvador	1942	1456.6666666666667	1.3331807780320366
2018	Tala	1853	3064.5833333333335	0.604649898028552
2018	Uruguay	13058	10327.333333333334	1.2644115938286746
2018	Victoria	3837	3768.8333333333335	1.0180869411400522
2018	Villaguay	3602	4642.5	0.7758750673128703
2019	Colón	8860	5333.75	1.6611202249824233
2019	Concordia	21755	16552.833333333332	1.31427650855342
2019	Diamante	6376	5028.166666666667	1.2680566144055154
2019	Federación	7078	5262.083333333333	1.3450946234856285
2019	Federal	1922	3318.3333333333335	0.5792064289301858
2019	Feliciano	890	1812	0.4911699779249448
2019	Gualeguay	5946	5034.916666666667	1.1809530114699018
2019	Gualeguaychú	14360	10759.083333333334	1.3346861953852944
2019	Islas del Ibicuy	757	547.5833333333334	1.3824379850859838
2019	La Paz	6063	6223.083333333333	0.9742758814628333
2019	Nogoyá	3837	3634.5833333333335	1.055691849134472
2019	Paraná	45701	49089.5	0.9309730186699804
2019	San Salvador	1864	1489.4166666666667	1.2514966709561908
2019	Tala	1810	3086.25	0.5864722559740786
2019	Uruguay	13043	10262.583333333334	1.2709275604745394
2019	Victoria	3776	3777.6666666666665	0.9995588105532516
2019	Villaguay	3580	4728.666666666667	0.7570844494572113
2020	Colón	8732	5375.583333333333	1.6243818500317795
2020	Concordia	19935	16197	1.23078347842193
2020	Diamante	6317	4964.583333333333	1.2724129248845992
2020	Federación	6801	5174.75	1.314266389680661
2020	Federal	1890	3306.8333333333335	0.5715437729953127
2020	Feliciano	882	1763.75	0.5000708717221829
2020	Gualeguay	5879	4951.5	1.1873169746541452
2020	Gualeguaychú	14179	10611.666666666666	1.3361708811057014
2020	Islas del Ibicuy	742	537.5833333333334	1.3802511238567663
2020	La Paz	5907	6126.25	0.9642113854315446
2020	Nogoyá	3805	3567.4166666666665	1.0665981452498308
2020	Paraná	44242	47975.75	0.9221742234357982
2020	San Salvador	1852	1463.6666666666667	1.2653154179002504
2020	Tala	1725	3032.0833333333335	0.568915761989831
2020	Uruguay	12732	10082.083333333334	1.2628342356490474
2020	Victoria	3705	3682.9166666666665	1.0059961534110193
2020	Villaguay	3548	4604.25	0.7705923874681001
2021	Colón	8792	5479.25	1.6045991695943789
2021	Concordia	20411	16674.083333333332	1.2241152687054262
2021	Diamante	6511	5088.833333333333	1.2794681164641537
2021	Federación	6799	5343.333333333333	1.272426699937617
2021	Federal	2011	3491.9166666666665	0.5759014867670573
2021	Feliciano	918	1896	0.48417721518987344
2021	Gualeguay	6072	5095.333333333333	1.1916786602119587
2021	Gualeguaychú	14357	10818.083333333334	1.3271297287720405
2021	Islas del Ibicuy	777	561	1.3850267379679144
2021	La Paz	6114	6372.75	0.9593974343886077
2021	Nogoyá	3865	3651.5	1.0584691222785156
2021	Paraná	45230	48931.75	0.9243487101932795
2021	San Salvador	1914	1543.75	1.239838056680162
2021	Tala	1787	3144.0833333333335	0.5683691590023588
2021	Uruguay	13125	10300.25	1.2742409164826096
2021	Victoria	3820	3769.0833333333335	1.0135090318158704
2021	Villaguay	3835	4767.583333333333	0.8043907640139134
2022	Colón	9334	5562.666666666667	1.6779721955896452
2022	Concordia	20167	16615.416666666668	1.2137522882864809
2022	Diamante	6697	5128.083333333333	1.3059460162178853
2022	Federación	7037	5391.416666666667	1.3052228078581696
2022	Federal	2030	3604.75	0.5631458492267147
2022	Feliciano	983	1943.6666666666667	0.5057451552049391
2022	Gualeguay	6318	5140.666666666667	1.2290234729607055
2022	Gualeguaychú	15123	10697.916666666666	1.4136397273612464
2022	Islas del Ibicuy	801	560.6666666666666	1.4286563614744352
2022	La Paz	6538	6486	1.0080172679617638
2022	Nogoyá	3999	3679.25	1.0869062988380784
2022	Paraná	47349	48901.333333333336	0.9682558076126077
2022	San Salvador	2025	1561.0833333333333	1.2971761063364118
2022	Tala	1895	3151.1666666666665	0.6013645739673137
2022	Uruguay	13744	10338.833333333334	1.329356955169023
2022	Victoria	3986	3779.5	1.0546368567270803
2022	Villaguay	4036	4885.666666666667	0.826089922903732
2023	Colón	9775	5714	1.7107105355267764
2023	Concordia	20141	16624	1.2115615976900866
2023	Diamante	6764	5194	1.3022718521370813
2023	Federación	7243	5335	1.3576382380506091
2023	Federal	2092	3697	0.5658642142277522
2023	Feliciano	995	1970	0.5050761421319797
2023	Gualeguay	6515	5178	1.2582078022402472
2023	Gualeguaychú	15735	10850	1.4502304147465437
2023	Islas del Ibicuy	884	573	1.5427574171029668
2023	La Paz	6803	6410	1.0613104524180967
2023	Nogoyá	4121	3730	1.1048257372654156
2023	Paraná	48142	48861	0.9852847874583001
2023	San Salvador	2044	1599	1.2782989368355222
2023	Tala	1988	3181	0.6249607041810752
2023	Uruguay	14202	10416	1.3634792626728112
2023	Victoria	4041	3796	1.0645416227608009
2023	Villaguay	4040	4980	0.8112449799196787
